Images,Vegan or/and  Vegetarian,Meal Type,Menu Item,Calories,Protein,Carbs,Fat,Sugar,Sodium (mg),Ingredients ,id
https://readyfitgo.com/assets/products/1684518087_995a3503_6467b4c72488e-m.jpg,,,Taco Salad*,610,46,30,34,5,315,"Allergens: | Ingredients for Consumer Use: spring mix, ground turkey, kidney beans, tomatoes, corn, bbq sauce, jalapeno ranch dressing",108
https://readyfitgo.com/assets/products/1655460859_teriyaki-chicken-3_62ac53fb1b6b0-m.jpg,,,Teriyaki Chicken Bowl (L)*,419,45,44,7,2,152,"Allergens: | Ingredients for Consumer Use: chicken breast, brown rice, broccoli, teriyaki sauce",109
https://readyfitgo.com/assets/products/1655460859_teriyaki-chicken-3_62ac53fb1b6b0-m.jpg,,,Teriyaki Chicken Bowl (S)*,305,34,31,5,3,104,"Allergens: | Ingredients for Consumer Use: chicken breast, brown rice, broccoli, teriyaki sauce",110
https://readyfitgo.com/assets/products/1655460693_turkey-meatball-zoodles_62ac53555578a-m.jpg,,,Turkey Meatball Zoodles (L)*,385,34,24,17,11,750,"zucchini noodles, marinara, ground turkey, parmesan cheese, parsley",111
https://readyfitgo.com/assets/products/1655460693_turkey-meatball-zoodles_62ac53555578a-m.jpg,,,Turkey Meatball Zoodles (S)*,293,23,21,13,6,467,"zucchini noodles, marinara, ground turkey, parmesan cheese, parsley",112
https://readyfitgo.com/assets/products/1655461090_turkey-chili-mac_62ac54e28e3bd-m.jpg,,,Turkeylicious Chili (L),474,43,46,14,0,380,"ground turkey, onion, kidney beans, diced tomato, tomato puree",113
https://readyfitgo.com/assets/products/1685320013_995a0311_6473f14d0e793-m.jpg,Vegan and Vegetarian,,Vegan Carrot Curry (L),560,12,77,14,0,0,"Chick peas, Carrots, Curry powder, Coconut milk, Tomato, Spinach, Brown rice, Lime",114
https://readyfitgo.com/assets/products/1685320013_995a0311_6473f14d0e793-m.jpg,Vegan and Vegetarian,,Vegan Carrot Curry (S),440,14,60,11,0,0,"Chick peas, Carrots, Curry powder, Coconut milk, Tomato, Spinach, Brown rice, Lime",115
https://readyfitgo.com/assets/products/1655460455_vegan-enchilada_62ac52675c982-m.jpg,Vegan and Vegetarian,,Vegan Enchilada,415,18,46,19,0,0,"Allergens: | Ingredients for Consumer Use: corn tortilla, cilantro lime beyond meat, enchilada sauce, vegan almond cheese, red salsa, rice ",116
https://readyfitgo.com/assets/products/1655461034_veggie-mac-3_62ac54aaeaeb6-m.jpg,Vegan and Vegetarian,,Vegan Get Yo Mac On,689,30,84,26,0,529,"Allergens: | Ingredients for Consumer Use: gluten free elbow pasta, beyond meat, onion, vegan almond cheese",117
https://readyfitgo.com/assets/products/1655460739_vegan-lasagna_62ac538377154-m.jpg,Vegan and Vegetarian,,Vegan Lasagna,452,19,71,13,0,490,"Allergens: | Ingredients for Consumer Use: gluten free lasagna, zucchini, mushrooms, red onion, spinach, yeast, garlic, black pepper, paprika, garlic, almond cheese",118
https://readyfitgo.com/assets/products/1685320342_995a0314_6473f296c4f1a-m.jpg,Vegan and Vegetarian,,Vegan Tikki Masala (L),472,14,68,16,0,0,"Chick pea, Cauliflower, Bell pepper, Coconut milk, Tomato, Brown rice, Cilantro, Lime",119
https://readyfitgo.com/assets/products/1685320342_995a0314_6473f296c4f1a-m.jpg,Vegan and Vegetarian,,Vegan Tikki Masala (S),360,11,52,12,0,0,"Chick pea, Cauliflower, Bell pepper, Coconut milk, Tomato, Brown rice, Cilantro, Lime",120
https://readyfitgo.com/assets/products/1655460733_vegan-vinnys-pasta_62ac537d8358b-m.jpg,Vegan and Vegetarian,,Vegan Turkey Fit Pasta,502,26,50,22,0,896,"Allergens: | Ingredients for Consumer Use: Gluten Free Elbow Pasta, Beyond Burger, Marinara Sauce, Vegan Parmesan Cheese",121
